street_address,full_address,lat,lng
4121 Wilshire Blvd,4121 Wilshire Blvd 90010 Los Angeles,34.0606,-118.3027
430 Station Park Cir,430 Station Park Cir 94402 San Mateo,37.5507,-122.3276
850 Davit Ln,850 Davit Ln 94065 Redwood City,,
1001 Beethoven Cmn,1001 Beethoven Cmn 94538 Fremont,37.5308,-121.9712
501 S New Hampshire Ave,501 S New Hampshire Ave 90020 Los Angeles,34.0665,-118.3022
1235 Wildwood Ave,1235 Wildwood Ave 94089 Sunnyvale,37.3983,-122.0006
2851 Bedford Ln,2851 Bedford Ln 91709 Chino Hills,33.9797,-117.7308
1 Vista Montana Vis,1 Vista Montana Vis 95134 San Jose,37.4087,-121.9406
235 S San Pedro St,235 S San Pedro St 90012 Los Angeles,34.0614,-118.2385
16931 Millikan Ave,16931 Millikan Ave 92606 Irvine,33.6951,-117.8224
99 Vista Montana,99 Vista Montana 95134 San Jose,37.4087,-121.9406
2850 Kelvin Ave,2850 Kelvin Ave 92614 Irvine,33.6829,-117.8298
5650 Owens Dr,5650 Owens Dr 94588 Pleasanton,37.6873,-121.8957
6040 Center Dr,6040 Center Dr 90045 Los Angeles,33.9631,-118.3941
4157 Via Marina Via,4157 Via Marina Via 90292 Marina del Rey,33.9779,-118.4525
6150 De Soto Ave,6150 De Soto Ave 91367 Woodland Hills,34.1767,-118.6159
340 Fremont St,340 Fremont St 94105 San Francisco,37.7864,-122.3892
1010 16th St,1010 16th St 94107 San Francisco,37.7621,-122.3971
1281 9th Ave,1281 9th Ave 92101 San Diego,32.7185,-117.1593
35 Via Lucca,35 Via Lucca 92612 Irvine,33.6607,-117.8264
One Saint Francis Pl,One Saint Francis Pl 94107 San Francisco,37.7621,-122.3971
855 Brannan St,855 Brannan St 94103 San Francisco,37.7725,-122.4147
1 Henry Adams St,1 Henry Adams St 94103 San Francisco,37.7725,-122.4147
1551 Union St,1551 Union St 92101 San Diego,32.7185,-117.1593
717 W Olympic Blvd,717 W Olympic Blvd 90015 Los Angeles,34.0434,-118.2716
7521 Edinger Ave,7521 Edinger Ave 92647 Huntington Beach,33.721,-118.0033
185 Channel St,185 Channel St 94158 San Francisco,37.7694,-122.3867
3221 Carter Ave,3221 Carter Ave 90292 Marina Del Rey,33.9779,-118.4525
21034 Pacific Coast Hwy,21034 Pacific Coast Hwy 92648 Huntington Beach,33.6773,-118.0051
19891-19895 Beach Blvd,19891-19895 Beach Blvd 92648 Huntington Beach,33.6773,-118.0051
969-969 Market St,969-969 Market St 92101 San Diego,32.7185,-117.1593
6245 Wilshire Blvd,6245 Wilshire Blvd 90048 Los Angeles,34.0737,-118.372
1330 Market St,1330 Market St 92101 San Diego,32.7185,-117.1593
388 Beale St,388 Beale St 94105 San Francisco,37.7864,-122.3892
13603 Marina Pointe Dr,13603 Marina Pointe Dr 90292 Marina Del Rey,33.9779,-118.4525
1213-1237 S Olive St,1213-1237 S Olive St 90015 Los Angeles,34.0434,-118.2716
375-399 Fremont St,375-399 Fremont St 94105 San Francisco,37.7864,-122.3892
2020 W El Camino Real,2020 W El Camino Real 94040 Mountain View,37.3855,-122.088
2775 Mesa Verde Dr E,2775 Mesa Verde Dr E 92626 Costa Mesa,33.6801,-117.9085
2700 Peterson Pl,2700 Peterson Pl 92626 Costa Mesa,33.6801,-117.9085
4250 Glencoe Ave,4250 Glencoe Ave 90292 Marina Del Rey,33.9779,-118.4525
880 Irvine Ave,880 Irvine Ave 92663 Newport Beach,33.621,-117.9321
1105 E Katella Ave,1105 E Katella Ave 92805 Anaheim,33.8359,-117.9086
3033 Wilshire Blvd,3033 Wilshire Blvd 90010 Los Angeles,34.0606,-118.3027
355 Berry St,355 Berry St 94158 San Francisco,37.7694,-122.3867
2801 Kelvin Ave,2801 Kelvin Ave 92614 Irvine,33.6829,-117.8298
837 Hancock St,837 Hancock St 94544 Hayward,37.6374,-122.067
2656 Associated Rd,2656 Associated Rd 92835 Fullerton,33.8994,-117.9063
6363 Beadnell Way,6363 Beadnell Way 92117 San Diego,32.8239,-117.1965
3454 Ruffin Rd,3454 Ruffin Rd 92123 San Diego,32.7973,-117.1392
4907 1/4 Hayter Ave,4907 1/4 Hayter Ave 90712 Lakewood,33.8512,-118.1457
14500 Sherman Cir,14500 Sherman Cir 91405 Los Angeles,34.2001,-118.4456
5700 Sepulveda Blvd,5700 Sepulveda Blvd 91411 Sherman Oaks,34.1781,-118.4574
811 S Fairview St,811 S Fairview St 92704 Santa Ana,33.7249,-117.909
2045 S Haster St,2045 S Haster St 92802 Anaheim,33.8085,-117.9228
12301-12401 Studebaker Rd,12301-12401 Studebaker Rd 90650 Norwalk,33.9056,-118.0818
201 S Magnolia Ave,201 S Magnolia Ave 92804 Anaheim,33.8186,-117.9729
3957 Pierce St,3957 Pierce St 92505 Riverside,33.9228,-117.4867
126 E 18th St,126 E 18th St 92627 Costa Mesa,33.6483,-117.9155
300-301 W 2nd St,300-301 W 2nd St 92701 Santa Ana,33.7523,-117.8541
901 S Broadway,901 S Broadway 90015 Los Angeles,34.0434,-118.2716
1475 Fillmore St,1475 Fillmore St 94115 San Francisco,37.7856,-122.4358
355 N Wolfe Rd,355 N Wolfe Rd 94085 Sunnyvale,37.3886,-122.0177
420 La Crescenta Dr,420 La Crescenta Dr 92823 Brea,33.923,-117.798
2804 Fashion Dr,2804 Fashion Dr 92883 Corona,33.7541,-117.474
7290 Edinger Ave,7290 Edinger Ave 92647 Huntington Beach,33.721,-118.0033
1501 Island Ave,1501 Island Ave 92101 San Diego,32.7185,-117.1593
318 W Wilson Ave,318 W Wilson Ave 91203 Glendale,34.1517,-118.2636
19550 Vallco Pky,19550 Vallco Pky 95014 Cupertino,37.318,-122.0449
550 S Main St,550 S Main St 90013 Los Angeles,34.0448,-118.2434
3900 Business Center Dr,3900 Business Center Dr 94534 Fairfield,38.2423,-122.1314
555 Pacific Ave,555 Pacific Ave 95060 Santa Cruz,37.0313,-122.1198
237 McCoy Ln,237 McCoy Ln 93455 Santa Maria,34.8286,-120.4268
895 Park Blvd,895 Park Blvd 92101 San Diego,32.7185,-117.1593
313 W California Ave,313 W California Ave 91203 Glendale,34.1517,-118.2636
150 S Taaffe St,150 S Taaffe St 94086 Sunnyvale,37.3764,-122.0238
620 S Virgil,620 S Virgil 90005 Los Angeles,34.0585,-118.3012
1737 Las Palmas Ave,1737 Las Palmas Ave 90028 Hollywood,34.1005,-118.3254
150 Van Ness Ave,150 Van Ness Ave 94102 San Francisco,37.7813,-122.4167
705 W 9th St,705 W 9th St 90015 Los Angeles,34.0434,-118.2716
33 Tehama St,33 Tehama St 94105 San Francisco,37.7864,-122.3892
12651 Artesia Blvd,12651 Artesia Blvd 90703 Cerritos,33.8669,-118.0686
3101 Magliocco Dr,3101 Magliocco Dr 95128 San Jose,37.3163,-121.9356
1200 S Broadway,1200 S Broadway 90015 Los Angeles,34.0434,-118.2716
3330 E Foothill Blvd,3330 E Foothill Blvd 91107 Pasadena,34.151,-118.0889
301 Executive Park Blvd,301 Executive Park Blvd 94134 San Francisco,37.719,-122.4096
2930 Barnard St,2930 Barnard St 92110 San Diego,32.7635,-117.2028
18504 Beach Blvd,18504 Beach Blvd 92648 Huntington Beach,33.6773,-118.0051
678 E Walnut St,678 E Walnut St 91101 Pasadena,34.1468,-118.1391
2038 Shattuck Ave,2038 Shattuck Ave 94704 Berkeley,37.8664,-122.257
1070 Foxchase Dr,1070 Foxchase Dr 95123 San Jose,37.2458,-121.8306
1550 N El Centro Ave,1550 N El Centro Ave 90028 Los Angeles,34.1005,-118.3254
8600 Citrus Ave,8600 Citrus Ave 92335 Fontana,34.0794,-117.4551
1180 Lochinvar Ave,1180 Lochinvar Ave 94087 Sunnyvale,37.3502,-122.0349
424 15th St,424 15th St 92101 San Diego,32.7185,-117.1593
4320 Valley Ave,4320 Valley Ave 94566 Pleasanton,37.6658,-121.8755
160 W Center St,160 W Center St 92805 Anaheim,33.8359,-117.9086
6138 Franklin Ave,6138 Franklin Ave 90028 Los Angeles,34.1005,-118.3254
101-103 Polk St,101-103 Polk St 94102 San Francisco,37.7813,-122.4167
546 W Colorado St,546 W Colorado St 91204 Glendale,34.1379,-118.2599
100 Van Ness Ave,100 Van Ness Ave 94102 San Francisco,37.7813,-122.4167
7795 Neptune Dr,7795 Neptune Dr 92648 Huntington Beach,33.6773,-118.0051
13900 Panay Way,13900 Panay Way 90292 Marina Del Rey,33.9779,-118.4525
16250 Homecoming Dr,16250 Homecoming Dr 91708 Chino,33.954,-117.6404
20200 Lucille Ave,20200 Lucille Ave 95014 Cupertino,37.318,-122.0449
123 S Figueroa St,123 S Figueroa St 90012 Los Angeles,34.0614,-118.2385
255 S Grand Ave,255 S Grand Ave 90012 Los Angeles,34.0614,-118.2385
727 W 7th St,727 W 7th St 90017 Los Angeles,34.0559,-118.2666
155 Andersen Dr,155 Andersen Dr 94901 San Rafael,37.9691,-122.5105
1100 Calle Del Cerro,1100 Calle Del Cerro 92672 San Clemente,33.4361,-117.6231
760 S Hill Rd,760 S Hill Rd 93003 Ventura,34.2846,-119.2222
4501 Snell Ave,4501 Snell Ave 95136 San Jose,37.2685,-121.849
7039 Charmant Dr,7039 Charmant Dr 92122 San Diego,32.8577,-117.2115
4201 Via Marina,4201 Via Marina 90292 Marina del Rey,33.9779,-118.4525
6200 W 3rd St,6200 W 3rd St 90036 Los Angeles,34.0699,-118.3492
4000 Ellmar Oaks Dr,4000 Ellmar Oaks Dr 95136 San Jose,37.2685,-121.849
5880 Fair Isle Dr,5880 Fair Isle Dr 92507 Riverside,33.9761,-117.3389
34588 11th St,34588 11th St 94587 Union City,37.5895,-122.0497
2101-2175 Kettner Blvd,2101-2175 Kettner Blvd 92101 San Diego,32.7185,-117.1593
868 S 5th St,868 S 5th St 95112 San Jose,37.3476,-121.887
1171 E Baywood Dr,1171 E Baywood Dr 92881 Corona,33.8241,-117.5198
501 W Bobier Dr,501 W Bobier Dr 92083 Vista,33.1978,-117.2482
3325 S Canfield Ave,3325 S Canfield Ave 90034 Los Angeles,34.029,-118.4005
680 Indiana St,680 Indiana St 94107 San Francisco,37.7621,-122.3971
16301 Butterfield Ranch Rd,16301 Butterfield Ranch Rd 91709 Chino Hills,33.9797,-117.7308
5550 Grosvenor Blvd,5550 Grosvenor Blvd 90066 Los Angeles,34.003,-118.4298
11622 Aviation Blvd,11622 Aviation Blvd 90304 Inglewood,33.9379,-118.3586
1500 N California Blvd,1500 N California Blvd 94596 Walnut Creek,37.9053,-122.0549
6775 Golden Gate Dr,6775 Golden Gate Dr 94568 Dublin,37.7166,-121.9226
26600 Oso Pky,26600 Oso Pky 92691 Mission Viejo,33.6128,-117.6622
8725 Ariva Ct,8725 Ariva Ct 92123 San Diego,32.7973,-117.1392
77 N Almaden Blvd,77 N Almaden Blvd 95110 San Jose,37.3391,-121.9016
21021 Erwin St,21021 Erwin St 91367 Woodland Hills,34.1767,-118.6159
1040 Glendon Ave,1040 Glendon Ave 90024 Los Angeles,34.0637,-118.4408
2690 3rd St,2690 3rd St 94107 San Francisco,37.7621,-122.3971
8604 E Whitewater Dr,8604 E Whitewater Dr 92808 Anaheim,33.8579,-117.7513
1020 Jennings Ave,1020 Jennings Ave 95401 Santa Rosa,38.4432,-122.7547
19700 Vallco Pky,19700 Vallco Pky 95014 Cupertino,37.318,-122.0449
232 E 2nd St,232 E 2nd St 90012 Los Angeles,34.0614,-118.2385
1200 S Grand Ave,1200 S Grand Ave 90015 Los Angeles,34.0434,-118.2716
400-505 Garden St,400-505 Garden St 95691 West Sacramento,38.5673,-121.5516
16761 Viewpoint Ln,16761 Viewpoint Ln 92647 Huntington Beach,33.721,-118.0033
13151 Yorba Ave,13151 Yorba Ave 91710 Chino,34.0125,-117.6844
1261 Ryan Ln,1261 Ryan Ln 92882 Corona,33.8419,-117.6043
5775 Riverside Dr,5775 Riverside Dr 91710 Chino,34.0125,-117.6844
1265 E 9th St,1265 E 9th St 91786 Upland,34.1144,-117.6583
299 Franklin St,299 Franklin St 94063 Redwood City,,
950 E Del Amo Blvd,950 E Del Amo Blvd 90746 Carson,33.8584,-118.2554
25550 River Bend Dr,25550 River Bend Dr 92887 Yorba Linda,33.8841,-117.7304
6242 Warner Ave,6242 Warner Ave 92647 Huntington Beach,33.721,-118.0033
3400 S Main St,3400 S Main St 92707 Santa Ana,33.7086,-117.8701
7600 Ambergate Pl,7600 Ambergate Pl 92504 Riverside,33.9315,-117.4119
451 Wellesley Dr,451 Wellesley Dr 92879 Corona,33.8797,-117.5354
22294 City Center Dr,22294 City Center Dr 94541 Hayward,37.674,-122.0894
15101 Fairfield Ranch Rd,15101 Fairfield Ranch Rd 91709 Chino,33.9797,-117.7308
1400 Barton Rd,1400 Barton Rd 92373 Redlands,34.0397,-117.1804
350 Sharon Park Dr,350 Sharon Park Dr 94025 Menlo Park,37.4396,-122.1864
3711 19th Ave,3711 19th Ave 94132 San Francisco,37.7211,-122.4754
2020 Kittredge St,2020 Kittredge St 94704 Berkeley,37.8664,-122.257
16675 Slate Dr,16675 Slate Dr 91709 Chino Hills,33.9797,-117.7308
900 S Figueroa St,900 S Figueroa St 90015 Los Angeles,34.0434,-118.2716
923 Folsom St,923 Folsom St 94107 San Francisco,37.7621,-122.3971
5550 Wilshire Blvd,5550 Wilshire Blvd 90036 Los Angeles,34.0699,-118.3492
1555 N Vine St,1555 N Vine St 90028 Los Angeles,34.1005,-118.3254
7441-7461 Edinger Ave,7441-7461 Edinger Ave 92647 Huntington Beach,33.721,-118.0033
936 S Olive St,936 S Olive St 90015 Los Angeles,34.0434,-118.2716
1826 Poggi St,1826 Poggi St 94501 Alameda,37.7706,-122.2648
250 W Santa Fe Ave,250 W Santa Fe Ave 92832 Fullerton,33.868,-117.9265
10000 Imperial Hwy,10000 Imperial Hwy 90242 Downey,33.9218,-118.1395
2750 Kelvin Ave,2750 Kelvin Ave 92614 Irvine,33.6829,-117.8298
529 Stevenson St,529 Stevenson St 94103 San Francisco,37.7725,-122.4147
1801 Jefferson St,1801 Jefferson St 94612 Oakland,37.8085,-122.2668
510 El Cerrito Plz,510 El Cerrito Plz 94530 El Cerrito,37.9156,-122.2985
1625 Santa Venetia St,1625 Santa Venetia St 91913 Chula Vista,32.6513,-116.9852
22501 Chase,22501 Chase 92656 Aliso Viejo,33.5701,-117.7086
825 E Palomar St,825 E Palomar St 91911 Chula Vista,32.6084,-117.0565
20310 W Sorrento Ln,20310 W Sorrento Ln 91326 Porter Ranch,,
1600 Rancho Conejo Blvd,1600 Rancho Conejo Blvd 91320 Thousand Oaks,34.1774,-118.9358
2000 Park Ave,2000 Park Ave 90815 Long Beach,33.7939,-118.1192
255 Via Mirabella Via,255 Via Mirabella Via 91320 Newbury Park,34.1774,-118.9358
1025 Palo Verde Ave,1025 Palo Verde Ave 90815 Long Beach,33.7939,-118.1192
300 Town Center Pky,300 Town Center Pky 92071 Santee,32.8486,-116.9862
11415 Porter Ranch Dr,11415 Porter Ranch Dr 91326 Porter Ranch,,
1100 Dennery Rd,1100 Dennery Rd 92154 San Diego,32.5753,-117.0707
6575 Jaffe Ct,6575 Jaffe Ct 92119 San Diego,32.8036,-117.0261
5427 Lake Murray Blvd,5427 Lake Murray Blvd 91942 La Mesa,32.7835,-117.0189
1120 W 6th St,1120 W 6th St 90017 Los Angeles,34.0559,-118.2666
3324 Castle Heights Ave,3324 Castle Heights Ave 90034 Los Angeles,34.029,-118.4005
222 S Main St,222 S Main St 90012 Los Angeles,34.0614,-118.2385
1111 Wilshire Blvd,1111 Wilshire Blvd 90017 Los Angeles,34.0559,-118.2666
200 Greenbriar Cir,200 Greenbriar Cir 94954 Petaluma,38.2507,-122.6155
250 North City Dr,250 North City Dr 92078 San Marcos,33.1193,-117.185
3400 Country Dr,3400 Country Dr 94536 Fremont,37.5605,-121.9999
6800 Embarcadero Ln,6800 Embarcadero Ln 92011 Carlsbad,33.1072,-117.2943
1188 Mission St,1188 Mission St 94103 San Francisco,37.7725,-122.4147
33 8th St,33 8th St 94103 San Francisco,37.7725,-122.4147
301 Jeanette Ln,301 Jeanette Ln 92705 Santa Ana,33.754,-117.7919
300 N Central Ave,300 N Central Ave 91203 Glendale,34.1517,-118.2636
5513-5529 Cancha de Golf,5513-5529 Cancha de Golf 92091 Rancho Santa Fe,32.9623,-117.0462
1600 Vine St,1600 Vine St 90028 Hollywood,34.1005,-118.3254
2555 Main St,2555 Main St 92614 Irvine,33.6829,-117.8298
200 N Grand Ave,200 N Grand Ave 91791 West Covina,34.0653,-117.8978
1251 Merry Loop,1251 Merry Loop 95035 Milpitas,37.4352,-121.895
14000 Palawan Way,14000 Palawan Way 90292 Marina del Rey,33.9779,-118.4525
4500 Via Marina,4500 Via Marina 90292 Marina Del Rey,33.9779,-118.4525
3455 Kearny Villa Rd,3455 Kearny Villa Rd 92123 San Diego,32.7973,-117.1392
4600 Via Marina,4600 Via Marina 90292 Marina del Rey,33.9779,-118.4525
13900 Marquesas Way,13900 Marquesas Way 90292 Marina del Rey,33.9779,-118.4525
535-547 S Kingsley Dr,535-547 S Kingsley Dr 90020 Los Angeles,34.0665,-118.3022
92 Esencia Dr,92 Esencia Dr 92694 Ladera Ranch,33.5472,-117.6238
8201 E Blackwillow Cir,8201 E Blackwillow Cir 92808 Anaheim Hills,33.8579,-117.7513
17621 W Pauline Ct,17621 W Pauline Ct 91387 Santa Clarita,34.4132,-118.426
2615 E Date Palm Paseos,2615 E Date Palm Paseos 91764 Ontario,34.0763,-117.6254
550 N Figueroa St,550 N Figueroa St 90012 Los Angeles,34.0614,-118.2385
200 Bicentennial Cir,200 Bicentennial Cir 95826 Sacramento,38.5539,-121.3693
18414 W Jakes Way,18414 W Jakes Way 91351 Santa Clarita,34.4262,-118.449
909 W Temple St,909 W Temple St 90012 Los Angeles,34.0614,-118.2385
1221 W 3rd St,1221 W 3rd St 90017 Los Angeles,34.0559,-118.2666
18005 W Annes Cir,18005 W Annes Cir 91387 Santa Clarita,34.4132,-118.426
27303 N Sara St,27303 N Sara St 91387 Canyon Country,34.4132,-118.426
1026 S Broadway,1026 S Broadway 90015 Los Angeles,34.0434,-118.2716
22219 Summit Vue Ln,22219 Summit Vue Ln 91367 Woodland Hills,34.1767,-118.6159
138 N Beaudry Ave,138 N Beaudry Ave 90012 Los Angeles,34.0614,-118.2385
725 S Bixel St,725 S Bixel St 90017 Los Angeles,34.0559,-118.2666
609 St Paul Ave,609 St Paul Ave 90017 Los Angeles,34.0559,-118.2666
100 Simplicity,100 Simplicity 92620 Irvine,33.7009,-117.7564
25 Palatine Rd,25 Palatine Rd 92612 Irvine,33.6607,-117.8264
5945 Linda Vista Rd,5945 Linda Vista Rd 92110 San Diego,32.7635,-117.2028
299 N State College Blvd,299 N State College Blvd 92868 Orange,33.7875,-117.8776
12855 Runway Rd,12855 Runway Rd 90094 Playa Vista,33.9754,-118.417
320 Crescent Village Cir,320 Crescent Village Cir 95134 San Jose,37.4087,-121.9406
